ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
59,20,196,42,1694,194,80,24,563,153,28,31,425,104,62,60,54,50,51,219,240,138,207,15,152,32,35,29,22,368,80,305,160,4,205,82,145,233,18,51,12,90,354,69,26,218,467,16,117,10
38,8,176,45,2097,151,104,16,473,124,36,16,301,90,43,32,51,21,32,197,231,92,166,17,164,20,25,37,46,219,66,345,149,5,193,56,139,227,22,49,4,70,477,28,37,233,389,23,100,8
51,5,225,37,2004,195,150,26,411,132,35,25,385,131,81,48,71,54,61,336,445,140,135,18,130,17,31,35,81,397,71,525,228,4,259,103,126,344,53,65,10,99,535,28,73,334,439,38,169,7
68,5,235,56,1854,166,160,8,486,164,8,36,402,130,98,61,55,39,71,272,442,122,164,33,179,27,28,60,82,334,52,614,237,5,224,107,122,317,49,69,17,62,614,31,55,286,481,20,132,17
76,18,206,49,1445,210,175,31,630,162,43,38,459,179,109,91,83,63,70,238,324,165,156,22,165,24,39,54,64,299,90,514,280,15,244,71,173,391,35,67,25,104,477,65,50,396,495,31,206,11
104,22,310,103,2642,183,184,17,729,221,74,47,438,191,172,119,97,74,36,285,366,209,199,33,200,46,66,77,63,256,89,499,339,12,362,89,236,376,40,120,21,155,663,81,50,405,1006,31,238,17
105,30,387,101,4191,309,267,61,943,238,54,58,580,261,189,145,130,120,38,483,579,313,256,43,252,96,66,113,119,467,105,747,546,37,490,162,266,570,66,128,27,235,1122,123,67,662,976,67,335,22
136,24,525,133,4051,319,311,48,872,394,56,61,736,322,154,145,152,172,64,512,638,282,411,61,234,67,62,136,151,555,116,950,325,23,550,142,208,746,86,159,30,202,1136,181,80,794,426,61,343,24
84,12,459,106,2347,278,232,42,1006,290,42,55,545,156,107,85,68,39,151,338,489,150,314,69,163,60,25,95,95,391,72,696,372,16,296,133,284,485,49,171,15,137,591,92,58,395,411,41,199,18
103,25,409,61,2708,196,182,53,1063,312,42,44,430,206,114,100,86,79,114,267,423,201,179,25,176,53,45,108,77,417,82,633,338,15,315,232,278,408,60,105,18,126,536,87,48,410,372,34,216,15
82,23,340,63,2448,170,159,37,691,227,42,41,464,126,73,94,78,31,86,288,321,151,160,28,120,54,32,80,49,391,63,586,233,8,252,89,220,378,35,112,13,95,515,66,26,326,290,31,126,15
67,11,256,63,3035,162,146,22,557,224,56,26,411,116,66,73,66,58,63,305,298,182,169,30,162,13,22,76,33,281,67,415,313,12,250,117,198,347,40,90,19,141,578,77,38,357,319,26,135,16
81,12,355,52,1896,165,117,28,566,221,57,30,517,127,40,44,50,51,36,206,246,155,107,29,201,23,22,61,57,269,41,353,211,6,240,482,149,275,36,107,5,160,470,50,21,326,290,17,98,8
62,6,301,41,1965,140,108,29,396,242,38,26,366,104,34,33,77,133,42,269,253,132,135,23,149,37,21,49,66,175,38,347,192,5,195,439,155,297,46,77,11,92,329,41,35,348,215,16,100,6
68,7,207,48,3019,149,217,26,674,164,40,58,450,172,130,72,107,39,63,211,315,270,189,33,287,38,44,62,101,344,49,722,240,10,402,509,247,301,53,63,12,108,385,60,47,251,448,32,212,10
56,20,311,47,2630,224,225,26,702,160,42,39,515,163,110,78,95,30,87,417,389,217,206,12,180,29,39,92,97,532,73,800,244,13,378,343,288,458,42,81,14,115,475,78,68,471,488,41,196,5
69,23,238,71,3264,163,192,33,903,227,43,64,455,159,121,115,80,58,81,378,453,163,166,27,195,35,50,78,89,371,61,728,265,11,315,203,265,366,54,97,14,149,595,123,63,450,450,31,237,14
75,15,325,66,2557,213,287,35,614,215,24,52,506,162,91,99,88,42,62,279,329,199,113,28,181,48,41,83,70,356,64,827,282,10,304,161,261,411,33,99,15,131,691,66,49,360,440,32,231,12
77,20,287,54,3777,144,143,42,648,235,54,42,484,156,98,104,95,66,64,263,380,190,244,16,158,37,55,70,92,380,45,755,265,11,335,103,256,302,42,94,18,135,557,50,56,357,468,30,192,17
93,13,371,54,3576,185,176,32,634,280,48,42,448,165,79,114,106,60,106,235,402,219,238,34,189,19,30,96,85,358,54,764,320,10,360,70,219,356,51,112,15,146,677,84,49,345,337,32,224,15
73,15,387,82,4193,241,161,28,684,210,51,46,429,162,91,83,86,53,68,277,325,171,225,24,152,38,25,116,66,350,93,700,306,10,297,45,161,300,38,124,9,124,555,67,36,372,333,36,185,8
72,24,270,53,3861,110,129,31,680,165,44,36,349,141,96,85,72,42,80,300,410,164,119,16,181,24,37,53,103,273,53,576,365,16,241,50,191,350,50,114,16,85,442,39,53,415,315,40,169,7
74,15,164,52,2900,149,137,28,680,177,49,49,355,157,77,81,87,33,74,310,367,228,209,29,128,25,27,69,75,291,52,641,275,10,334,56,260,383,36,101,11,119,395,41,46,392,292,38,190,8
72,12,281,59,3931,148,144,41,1088,218,32,32,444,186,84,82,115,63,76,356,351,183,207,14,119,16,28,89,41,336,70,626,402,11,316,81,207,387,43,120,11,189,746,32,38,399,372,28,195,8
100,15,427,80,3409,189,132,47,1104,307,62,38,440,171,87,77,144,59,52,338,326,207,192,36,162,17,30,87,91,328,71,640,371,10,362,92,242,402,49,169,13,185,677,51,31,459,392,31,172,9
117,5,327,121,3394,162,193,30,975,256,57,60,520,214,141,119,150,85,67,258,360,172,219,59,241,35,66,79,73,340,71,635,400,12,313,83,370,401,31,126,22,175,719,72,34,429,448,49,174,14
166,22,519,113,4640,191,225,62,1003,318,49,78,695,305,180,124,163,93,118,416,538,272,351,50,283,33,58,106,122,540,90,973,527,14,554,109,433,609,77,194,23,223,810,100,75,624,654,67,339,22
101,15,394,63,3031,153,145,56,666,184,51,37,455,176,103,93,123,55,97,316,434,199,173,84,177,53,39,105,130,341,59,772,314,12,316,75,212,498,53,139,30,146,465,53,57,476,385,45,140,10
63,12,192,47,1830,95,103,45,450,158,17,23,330,119,69,56,90,34,76,294,332,113,138,42,106,21,22,44,139,220,29,463,196,13,211,32,128,335,43,142,18,93,288,29,30,386,194,20,127,6
50,14,89,25,949,40,89,22,300,116,23,16,168,50,33,39,45,26,34,133,262,48,45,11,76,16,9,26,61,134,14,330,164,3,108,22,81,198,32,74,11,55,165,22,30,171,110,16,54,2
72,5,114,39,2089,83,96,17,466,139,31,31,288,143,68,67,62,44,27,146,195,109,120,24,118,16,20,46,60,163,41,317,244,10,179,52,163,217,24,69,9,105,309,46,20,210,264,24,133,4
75,16,237,78,2202,125,138,34,603,186,48,48,420,177,103,81,85,40,61,228,297,154,134,27,144,35,32,62,65,242,73,559,304,16,224,76,171,301,35,87,19,137,528,56,29,296,262,27,198,15
85,17,285,54,3038,121,121,26,553,176,48,32,308,142,80,62,76,39,53,223,248,130,132,30,118,27,31,74,55,237,49,518,273,8,260,52,191,278,29,114,13,119,408,40,36,313,259,26,150,11
72,13,208,63,2825,117,86,29,550,178,78,43,309,136,60,61,65,37,56,263,292,100,121,20,131,19,43,54,78,231,50,463,264,4,215,58,221,335,36,100,8,123,432,56,37,398,340,29,138,7
79,20,233,51,3148,138,87,37,621,197,48,49,430,143,80,75,71,36,64,265,322,116,225,8,147,26,46,98,55,243,62,478,303,5,226,125,236,367,37,99,12,101,496,63,23,341,417,34,198,9
87,10,323,52,2955,149,119,46,651,237,47,38,449,146,71,70,66,37,71,289,375,130,143,23,104,11,28,59,61,299,47,516,305,7,209,70,175,422,45,111,12,135,465,58,62,416,296,20,192,11
7111,1585,27709,5741,278851,19803,15649,3224,57917,17622,4849,4150,37697,14200,8014,7143,7044,5208,6326,27898,32928,16275,17956,2677,13563,3122,3217,8130,7443,28057,6910,50475,25929,908,24788,9981,24144,34563,4204,8433,1479,10664,48466,6824,4385,38480,38899,3199,18311,1343
